702,內套,lāi-thò,,
703,元宵,Guân-siau,,
704,內孫,lāi-sun,,
705,內容,luē-iông,,
706,公家,kong-ka,,
707,公家,kong-ke,,
708,不時,put-sî,,
709,六書,lio̍k-su,,
710,元氣,guân-khì,,
711,六畜,lio̍k-thiok,,
712,元神,guân-sîn,,
713,中脊,tiong-tsit,,
714,分配,hun-phuè/hun-phè,,
715,不動產,put-tōng-sán,,
716,公婆,kong-pô,,
717,五彩,ngóo-tshái,,
718,分張,pun-tiunn,,
719,不得了,put-tik-liáu,,
720,不得已,put-tik-í,,
721,內情,luē-tsîng,,
722,中晝,tiong-tàu,,
723,中晝時,tiong-tàu-sî,,
724,中晝飯,tiong-tàu-pn̄g,,
725,中晝頓,tiong-tàu-tǹg,,
726,公眾,kong-tsiòng,,
727,介紹,kài-siāu,,
728,中途,tiong-tôo,,
729,內部,luē-pōo,,
730,冗剩,liōng-siōng,,
731,內場,lāi-tiûnn,,
732,公寓,kong-gū,,
733,分散,hun-suànn,,
734,不敢當,put-kám-tong,,
735,分發,hun-huat,,
736,中等,tiong-tíng,,
737,勾結,kau-kiat,,
738,不答不七,put-tap-put-tshit,,
739,五筋膎,gōo-kin-kê/gōo-kun-kuê,,
740,公費,kong-huì,,
741,中間,tiong-kan,,
742,公開,kong-khai,,
743,公開,kong-khui,,
744,分開,hun-khui,,
745,中傷,tiòng-siong,,
746,內傷,lāi-siong,,
747,公債,kong-tsè,,
748,公園,kong-hn̂g,,
749,內媽,lāi-má,,
750,公媽,kong-má,,
751,中意,tìng-ì,,
752,仁愛,jîn-ài/lîn-ài,,
753,仁慈,jîn-tsû/lîn-tsû,,
754,凶煞,hiong-suah,,
755,不義,put-gī,,
756,仁義,jîn-gī/lîn-gī,,
757,內裡,lāi-lí,,
758,勼跤,kiu-kha,,
759,五路,ngóo-lōo,,
760,公路,kong-lōo,,
761,公道,kong-tō,,
762,不滿,put-buán,,
763,五福,ngóo-hok,,
764,不管時,put-kuán-sî,,
765,內閣,luē-koh,,
766,冇數,phànn-siàu,,
767,分數,hun-sòo,,
768,五穀,ngóo-kok,,
769,中學,tiong-ha̍k,,
770,公學校,kong-ha̍k-hāu,,
771,公親,kong-tshin,,
772,分錢,pun-tsînn,,
773,公館,kong-kuán,,
774,冇蟳,phànn-tsîm,,
775,中醫,tiong-i,,
776,分類,hun-luī,,
777,分鐘,hun-tsing,,
778,分攤,hun-thuann,,
779,五臟,ngóo-tsōng,,
780,化,hua,替,匕
781,化,huà,,匕
782,匹,phit,,匚
783,升,tsin,白,十
784,升,sing,文,十
785,午,gōo,白,十
786,午,ngóo,文,十
787,厄,eh,,厂
788,友,iú,,又
789,反,huán,文,又
790,反,píng,白,又
791,壬,jîm/lîm,,士
792,天,thian,文,大
793,天,thinn,白,大
794,太,thài,,大
795,夫,hu,,大
796,少,tsió,白,小
797,尺,tshe,替,尸
798,尺,tshioh,白,尸
799,廿,jia̍p/lia̍p,,廾
800,引,ín,,弓
801,心,sim,,心
802,戶,hōo,,戶
803,手,tshiú,白,手
